Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
教職員評価説明会,05/11/2026,3:30 PM,05/11/2026,4:30 PM,FALSE,教職員評価説明会（時間帯：15:30〜）,,FALSE
小中一貫教育プロジェクト代表 校長・担当者会,05/11/2026,,05/11/2026,,TRUE,校長・教務担当者会,,FALSE
5年 米作り講話（名谷様・益留様来校）,05/12/2026,10:00 AM,05/12/2026,10:45 AM,FALSE,3校時 / 講師：名谷様・益留様,5年教室,FALSE
施設管理見学,05/12/2026,9:30 AM,05/12/2026,11:30 AM,FALSE,施設管理見学（来校）,,FALSE
全校5時間下校,05/12/2026,,05/12/2026,,TRUE,全校5時間下校,,FALSE
R8第2回学校書写ポスター研修,05/13/2026,9:00 AM,05/13/2026,3:00 PM,FALSE,担当：河村,中央公民館,FALSE
コンプライアンス研修,05/14/2026,3:30 PM,05/14/2026,4:10 PM,FALSE,コンプライアンス研修 15:30〜16:10,職員室,FALSE
